source	target	search_result
Mitya Gutrin, ex-colega de Alexey e Irina, escreveu um post [ru] descrevendo as dificuldades financeiras deles e o hábito de Kabanov emprestar quantias enormes de dinheiro dos amigos de Irina para financiar suas tentativas frustradas de abrir cafés.	Mitya Gutrin, a former colleague of both Alexey and Irina, wrote a blog post [ru] which described their financial difficulties and Kabanov's habit of borrowing large sums of money from Irina's friends to fund his failed attempts at opening up cafes.	A actual governação assenta numa falsa democracia em que as decisões estão restritas às salas fechadas dos parlamentos, gabinetes ministeriais e instâncias internacionais.
O dinheiro raramente era devolvido e Kabanov aparenta, de forma geral, ter sido bem charlatão.	The money was rarely returned, and Kabanov generally appears to have been quite the grifter.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Gutrin escreveu:	Gutrin wrote:	Sabitou Oumarou:
Sempre pensei que há um amplo abismo entre um impostor e um assassino.	I always thought that a hefty chasm lies between a swindler and a murderer.	A polícia catarinense ainda investiga as circunstâncias da morte do blogueiro.
Agora sei que não é tão amplo quanto pensei, e talvez sequer exista […]	Now I know that it isn't as large as I thought, and maybe it doesn't exist at all […]	Pelo que apreendi na altura e sei hoje, o Estado português, na época, não lhes prestou lá o apoio que deveria.
Tais descrições do caráter moral de Kabanov provavelmente serão suscitadas pela acusação, se e quando este caso for a julgamento.	Such characterizations of Kabanov's moral character will likely be brought up by the prosecution, if and when this case goes to trial.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Ekaterina Gajski, amiga de Irina, concordou com Gutrin, alegando ainda [ru] que Kabanov tinha um histórico de abusos físicos contra Irina:	Ekaterina Gajski, a friend of Irina's, agreed with Gutrin, alleging, in addition [ru], that Kabanov had a history of physically abusing Irina:	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Primeiro ele sumiu com o apartamento dela, daí com os negócios do casal (duas vezes pelo menos), depois fez com que ela brigasse com todo mundo por causa dos empréstimos - era grosso com os credores, amigos dela que lhes emprestaram dinheiro para os negócios.	First he pissed away her apartment, then their business (twice at least), then made her quarrel with everyone over the loans - he was rude to the creditors, her friends who loaned them money for the business.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Além disso, evidentemente batia nela, tenho certeza, apesar de Ira ter sempre negado e defendido o cara…	Also, he clearly beat hear, I am sure of this, even though Ira always denied it and defended him…	Mesmo diante de eventuais excessos por parte de alguns manifestantes, não há nenhuma justificação para as cenas que se vê, incluindo agressões contra quem estava filmando o episódio (o que, aliás, não é a primeira vez que acontece).
Tais revelações sobre pessoas que pareciam ser representantes-modelo da “classe criativa” da Rússia (termo inventado pelo sociologista Richard Florida, e posteriormente adotado pelo ideologista do Kremlin Vladislav Surkov, para descrever jovens profissionais que compõem o núcleo de protestos anti-governamentais), resultaram naturalmente em uma longa busca da parte de seus membros.	Such revelations about seemingly model representatives of Russia's “creative class” (a term first coined by sociologist Richard Florida, and later adopted by Kremlin ideologist Vladislav Surkov to describe young professionals that make up the core of the anti-government protests), have naturally resulted in some soul searching on the part of its members.	Emblemático é o caso de Honduras, um catalisador profundo das intenções de setores da imprensa cada vez mais perfilados em bloco sobre um ensaiado viés chavista (a nova panacéia editorial do continente) aplicado ao noticiário toda vez que um movimento de esquerda se insinua sobre velhos latifúndios - físicos e imateriais.
