source	target	translation	search_result
Telefon@item:inlistbox	Telephone	Telephone	Telephone
Helikopter@item:inlistbox	Helicopter	Helicopter	Helicopter
Applaus@item:inlistbox	Applause	Let's hear it.	Listen To
Gewehrschuss@item:inlistbox	Gunshot	Gunshot	Gunshot
Perkussion %1	Percussion %1	Percussion %1	Slide %1
Ein MIDI/Karaoke-Abspielprogramm für KDE 4	A KDE 4 MIDI/ Karaoke player	A MIDI/Karaoke playback program for KDE 4	A KDE4 MIDI/ Karaoke Player
Pedro Lopez-Cabanillas	Pedro Lopez-Cabanillas	Pedro Lopez Cabanillas	Rafael Fernández López
Zu öffnende Stücke@info	Song(s) to open	Pieces to open	File(s) to open
Es ist kein MIDI-Modul geladen.@title:window	No MIDI backend loaded.	No MIDI module is loaded.	No modem selected.
Schwerwiegender Fehler@info:whatsthis	Fatal	Serious error	Fatal error
Die Anwendung beenden@info:whatsthis	Exit the application	Quit the application	Quit the application
Eine Datei von der Festplatte öffnen@info:whatsthis	Open a file from disk	Open a file from the hard drive	Open Images From Folder
Die Programmeinstellungen anpassen@info:whatsthis	Configure the program settings	Customize the program settings	Configure Project settings
Den Liedtext ausdrucken@action:inmenu	Print the lyrics	Print the lyrics	Print captions
Liedtext speichern ...@action player play	Save Lyrics...	Save Song Text...	& Save Lyrics...
Wiedergabe@info:whatsthis	Play	Play	Play
Wiedergabe starten@action player pause	Start playback of the current session	Start Play	Start playing
Pause@info:whatsthis	Pause	Pause	Pause
Wiedergabe anhalten@action player next song	Pause the playback	Stop Playing	Stop Play
Nächstes Stück@action player previous song	Next song	Next piece	Next section
Vorheriges Stück@action player skip forward	Previous song	Previous piece	Previous Chapter
Vorspulen@info:whatsthis	Forward	Prespulen	Praecipula
Im Stück vorspulen@action player skip backward	Player seek forward	Pre-wind in the piece@action player skip backward	Reactivity delayed to the end of playing track
Zurückspulen@info:whatsthis	Rewind	Rewind	Rewind
Im Stück zurückspulen@action player stop	Player seek backward	Rewind in the piece	Restore partition
Stopp@info:whatsthis	Stop	Stop	Stop
Wiedergabe oder Aufnahme stoppen@action:inmenu	Stop playback or recording	Stop playback or recording	Stop playback
Datei-Informationen ...@action playlist repeat	File info...	File information...	File Information...
Wiederholen@action playlist shuffle	Repeat	Repeat	Repeat
Beliebige Reihenfolge@action player auto-start	Shuffle	Any order	Any
Automatisch starten@action	Auto-Start	Start Automatic	Start Automatically
Automatisch zur Wiedergabeliste hinzufügen@action	Auto-Add to Playlist	Automatically add to playlist	Append to playlist
source	target	translation	search_result
Telefon@item:inlistbox	Telephone	Load playlist...	Load playlist
Helikopter@item:inlistbox	Helicopter	Save playlist...	Save List...
Applaus@item:inlistbox	Applause	Edit playlist...	Edit List...
Gewehrschuss@item:inlistbox	Gunshot	Foreplay piano	Chorused Piano
Perkussion %1	Percussion %1	Show/hide the foreplay piano window	View Show/ Hide Sidebar
Ein MIDI/Karaoke-Abspielprogramm für KDE 4	A KDE 4 MIDI/ Karaoke player	Channels	Channels
Pedro Lopez-Cabanillas	Pedro Lopez-Cabanillas	Show/hide the channel window	Shows/ hides the menu bar
Zu öffnende Stücke@info	Song(s) to open	Load	Load
Es ist kein MIDI-Modul geladen.@title:window	No MIDI backend loaded.	Load the saved settings for the current piece	Load saved settings
Schwerwiegender Fehler@info:whatsthis	Fatal	Save	Save
Die Anwendung beenden@info:whatsthis	Exit the application	Save the settings of the current piece	Save your current settings.
Eine Datei von der Festplatte öffnen@info:whatsthis	Open a file from disk	Automatic	Automatic
Die Programmeinstellungen anpassen@info:whatsthis	Configure the program settings	Automatically load and save piece settings	Automatically load/ save configuration.
Den Liedtext ausdrucken@action:inmenu	Print the lyrics	Open MIDI/Karaoke files	MIDI/ Karaoke file player
Liedtext speichern ...@action player play	Save Lyrics...	Playing	Playing
Wiedergabe@info:whatsthis	Play	stopped	stopped
Wiedergabe starten@action player pause	Start playback of the current session	stopped	stopped
Pause@info:whatsthis	Pause	loadd@info:status player invalid status	Invalid state
Wiedergabe anhalten@action player next song	Pause the playback	not ready	Not ready
Nächstes Stück@action player previous song	Next song	%1 [%2]	%1 [%2]
Vorheriges Stück@action player skip forward	Previous song	Songtext	Lyrics
Vorspulen@info:whatsthis	Forward	MIDI@title:group	MIDI
Im Stück vorspulen@action player skip backward	Player seek forward	Not found	Not found
Zurückspulen@info:whatsthis	Rewind	Found version: %1	Found: %1
Im Stück zurückspulen@action player stop	Player seek backward	No file loaded.	Cannot load file.
Stopp@info:whatsthis	Stop	File: %1	File: %1
Wiedergabe oder Aufnahme stoppen@action:inmenu	Stop playback or recording	Copyright: %1	Copyright: %1
Datei-Informationen ...@action playlist repeat	File info...	Karaoke type: %1	Karaoke info: %1
Wiederholen@action playlist shuffle	Repeat	Karaoke version: %1 @info	Karaoke info: %1
Beliebige Reihenfolge@action player auto-start	Shuffle	Karaoke language: %1	Karaoke info: %1
Automatisch starten@action	Auto-Start	Karaoke title: %1	Karaoke info: %1
Automatisch zur Wiedergabeliste hinzufügen@action	Auto-Add to Playlist	Karaoke Warnings: %1 @title:window	Karaoke info: %1
source	target	translation	search_result
Telefon@item:inlistbox	Telephone	Piece information	Partition information
Helikopter@item:inlistbox	Helicopter	Save Song Text as File	File Save as Draft
Applaus@item:inlistbox	Applause	There are currently no MIDI ports available on your system. In the KMid2 settings, you can set up the execution of a software synthesizer, such as TiMidity++ or FluidSynth, when starting KMid2. For more information, see the online manual.	The QTDesigner tool uic is not able to find the kde widget plugins. To solve this run qtconfig and add $KDEDIR / lib/ kde3/ plugins to the plugin search path (replace $KDEDIR with your kde base dir).
Gewehrschuss@item:inlistbox	Gunshot	MIDI Player Connection	MIDI
Perkussion %1	Percussion %1	"You need to select a MIDI port if you want to have sound. The MIDI port can be a software synthesizer, such as Timidity++ or FluidSynth, an external MIDI device or a hardware synthesizer provided by your sound card. This setting can be changed from the menu ""Set up KMid2"". For more information, see the online manual. Please select a MIDI port now:@title:window"	The & kmix; panel applet is an alternative interface to & kmix;. You can add it to the & kde; panel by selecting Add Applet to Panel... in the Panel Menu or context menu. Choose Sound Mixer and click the Add to Panel or double click Sound Mixer.
Ein MIDI/Karaoke-Abspielprogramm für KDE 4	A KDE 4 MIDI/ Karaoke player	Load playlist	Load playlist
Pedro Lopez-Cabanillas	Pedro Lopez-Cabanillas	Save playlist as file	Save playlist to a file.
Zu öffnende Stücke@info	Song(s) to open	Volume and pitch	Brightness and Volume
Es ist kein MIDI-Modul geladen.@title:window	No MIDI backend loaded.	Volume@label:slider Musical tone, note height (transpose)	Volume (percentage of maximum volume)
Schwerwiegender Fehler@info:whatsthis	Fatal	Pitch	Pitch
Die Anwendung beenden@info:whatsthis	Exit the application	Show/hide the volume and pitch sliders	Shows/ hides the volume toolbar
Eine Datei von der Festplatte öffnen@info:whatsthis	Open a file from disk	Text encoding	Text encoding
Die Programmeinstellungen anpassen@info:whatsthis	Configure the program settings	Character encoding for song and other texts@item:inlistbox Default MIDI text encoding	Italic font for displaying subtitles and other OSD text
Den Liedtext ausdrucken@action:inmenu	Print the lyrics	Standard (ASCII)	& Mode (ASCII)
Liedtext speichern ...@action player play	Save Lyrics...	Toggle the window with the character encoding settings	Draw window frames using & titlebar colors
Wiedergabe@info:whatsthis	Play	Rhythm	Rhythmic Soul
Wiedergabe starten@action player pause	Start playback of the current session	Speed:@label:slider bpm=beats per minute	Speed: the speed of the node
Pause@info:whatsthis	Pause	120.0 BPM	BPM
Wiedergabe anhalten@action player next song	Pause the playback	Speed or piece speed in beats Per minute (BPM)	Miles Per Hour (mph)
Nächstes Stück@action player previous song	Next song	Tempo setting, between 50% and 200 %	Set volume in range 0-100%.
Vorheriges Stück@action player skip forward	Previous song	100 %	100%
Vorspulen@info:whatsthis	Forward	Reset the piece speed to 100%	Switching down burn speed to %1x
Im Stück vorspulen@action player skip backward	Player seek forward	Metronom:	Metric:
Zurückspulen@info:whatsthis	Rewind	Graphical Metronome	Geometric
Im Stück zurückspulen@action player stop	Player seek backward	Song or other text	Language or other identifier for the question
