source	target	search_result
Telefon@item:inlistbox	Telephone	inbox:
Helikopter@item:inlistbox	Helicopter	Helicopter
Applaus@item:inlistbox	Applause	inbox:
Gewehrschuss@item:inlistbox	Gunshot	Bulleted List - \\begin{itemize}
Perkussion %1	Percussion %1	Prompting %1
Ein MIDI/Karaoke-Abspielprogramm für KDE 4	A KDE 4 MIDI/ Karaoke player	A KDE4 MIDI/ Karaoke Player
Pedro Lopez-Cabanillas	Pedro Lopez-Cabanillas	& Pedro. Lopez-Cabanillas;
Zu öffnende Stücke@info	Song(s) to open	Jasem Mutlaq mutlaqja@ku. edu
Es ist kein MIDI-Modul geladen.@title:window	No MIDI backend loaded.	No archive loaded
Schwerwiegender Fehler@info:whatsthis	Fatal	whatsthis
Die Anwendung beenden@info:whatsthis	Exit the application	whatsthis
Eine Datei von der Festplatte öffnen@info:whatsthis	Open a file from disk	Error opening file %1. %2.
Die Programmeinstellungen anpassen@info:whatsthis	Configure the program settings	WhatsThis text for Email setting
Den Liedtext ausdrucken@action:inmenu	Print the lyrics	Jasem Mutlaq mutlaqja@ku. edu
Liedtext speichern ...@action player play	Save Lyrics...	QString saveCurrentPlaylist()
Wiedergabe@info:whatsthis	Play	whatsthis
Wiedergabe starten@action player pause	Start playback of the current session	Play if stopped, pause if playing
Pause@info:whatsthis	Pause	pause
Wiedergabe anhalten@action player next song	Pause the playback	Play next song
Nächstes Stück@action player previous song	Next song	Play previous song
Vorheriges Stück@action player skip forward	Previous song	Skip forwards in playlist
Vorspulen@info:whatsthis	Forward	whatsthis
Im Stück vorspulen@action player skip backward	Player seek forward	Skip backwards in playlist
Zurückspulen@info:whatsthis	Rewind	whatsthis
Im Stück zurückspulen@action player stop	Player seek backward	Stops playback.
Stopp@info:whatsthis	Stop	stop
Wiedergabe oder Aufnahme stoppen@action:inmenu	Stop playback or recording	& Stop/ Delete
Datei-Informationen ...@action playlist repeat	File info...	Settings Repeat Playlist
Wiederholen@action playlist shuffle	Repeat	Settings Repeat Playlist
Beliebige Reihenfolge@action player auto-start	Shuffle	Auto-start.
Automatisch starten@action	Auto-Start	Start automatically
Automatisch zur Wiedergabeliste hinzufügen@action	Auto-Add to Playlist	Automatically return on activity
Wiedergabeliste laden ...@action	Load Playlist...	Loading Kontact...
Wiedergabeliste speichern ...@action	Save Playlist...	Save List...
Wiedergabeliste bearbeiten ...@action Pianola	Edit Playlist...	void enableRepeatPlaylist(bool enable)
Vorspiel-Piano@title:menu	Player Piano	Menu Name - > Menu Item
Das Fenster mit dem Vorspiel-Piano ein-/ausblenden@action	Show or hide the player piano window	Pino Toscano toscano. pino@tiscali. it
Kanäle@info:whatsthis	Channels	whatsthis
Das Fenster mit den Kanälen ein-/ausblenden@action load song settings	Show or hide the channels window	Settings Audio Channels
Laden@info:whatsthis	Load	whatsthis
Die gespeicherten Einstellungen für das aktuelle Stück laden@action save song settings	Load the stored settings for the current song	Always remember any changes made to the settings selected below in the file properties for the current file
Speichern@info:whatsthis	Save	whatsthis
Die Einstellungen des aktuellen Stückes speichern@action auto load/save song settings	Save the settings of the current song	Automatically load/ save configuration.
Automatisch@info:whatsthis	Automatic	whatsthis
Stückeinstellungen automatisch laden und speichern@title:window	Automatically load and save song settings	Automatically load/ save configuration.
MIDI-/Karaoke-Dateien öffnen@info:status player playing	Open MIDI/ Karaoke files	MIDI/ Karaoke file player
abspielend@info:status player paused	playing	Paused:: %1
angehalten@info:status player stopped	paused	Player Stop
gestoppt@info:status player loading	stopped	Loading Your Game
ladend@info:status player invalid status	loading	Invalid Profile
nicht bereit@info:status	not ready	Not ready:
%1 [%2]@title:group	%1 [%2]	%1 [%2]
Liedtext@title:group	Lyrics	Title (CD-Text)
MIDI@title:group	MIDI	MIDI
Nicht gefunden@info	Not found	(not found)
Gefundene Version: %1@info	Found version: %1	Info: %1
Es ist keine Datei geladen.@info	No file loaded	No archive loaded
Datei: %1 @info	File: %1	Info: %1
