source	target	search_result	chrf_score	bleurt
Telefon@item:inlistbox	Telephone	inbox:	0.038314176245210815	0.037322998046875
Helikopter@item:inlistbox	Helicopter	Helicopter	1.0	0.58642578125
Applaus@item:inlistbox	Applause	inbox:	1.0000000000000001e-16	0.04278564453125
Gewehrschuss@item:inlistbox	Gunshot	Bulleted List - \\begin{itemize}	0.07246376811594213	0.056854248046875
Perkussion %1	Percussion %1	Prompting %1	0.11332973556395043	0.4091796875
Ein MIDI/Karaoke-Abspielprogramm für KDE 4	A KDE 4 MIDI/ Karaoke player	A KDE4 MIDI/ Karaoke Player	0.8210440462156711	0.8310546875
Pedro Lopez-Cabanillas	Pedro Lopez-Cabanillas	& Pedro. Lopez-Cabanillas;	0.8414448238757345	0.740234375
Zu öffnende Stücke@info	Song(s) to open	Jasem Mutlaq mutlaqja@ku. edu	0.03496503496503506	0.09100341796875
Es ist kein MIDI-Modul geladen.@title:window	No MIDI backend loaded.	No archive loaded	0.24946904568706574	0.3330078125
Schwerwiegender Fehler@info:whatsthis	Fatal	whatsthis	0.09960718294051635	-0.0021343231201171875
Die Anwendung beenden@info:whatsthis	Exit the application	whatsthis	0.06943687721719767	0.039703369140625
Eine Datei von der Festplatte öffnen@info:whatsthis	Open a file from disk	Error opening file %1. %2.	0.1995964732338481	0.3076171875
Die Programmeinstellungen anpassen@info:whatsthis	Configure the program settings	WhatsThis text for Email setting	0.24045624815768696	0.27099609375
Den Liedtext ausdrucken@action:inmenu	Print the lyrics	Jasem Mutlaq mutlaqja@ku. edu	0.05482456140350886	0.09173583984375
Liedtext speichern ...@action player play	Save Lyrics...	QString saveCurrentPlaylist()	0.14232439335887617	0.287841796875
Wiedergabe@info:whatsthis	Play	whatsthis	0.03703703703703713	0.01430511474609375
Wiedergabe starten@action player pause	Start playback of the current session	Play if stopped, pause if playing	0.12326344511750321	0.343994140625
Pause@info:whatsthis	Pause	pause	0.4527777777777778	0.72021484375
Wiedergabe anhalten@action player next song	Pause the playback	Play next song	0.10987227697541967	0.453857421875
Nächstes Stück@action player previous song	Next song	Play previous song	0.2365547738265791	0.7109375
Vorheriges Stück@action player skip forward	Previous song	Skip forwards in playlist	0.07692307692307702	0.1365966796875
Vorspulen@info:whatsthis	Forward	whatsthis	0.04629629629629639	0.0251312255859375
Im Stück vorspulen@action player skip backward	Player seek forward	Skip backwards in playlist	0.17889488310556143	0.1141357421875
Zurückspulen@info:whatsthis	Rewind	whatsthis	0.052910052910053	0.037811279296875
Im Stück zurückspulen@action player stop	Player seek backward	Stops playback.	0.16942518613586446	0.1126708984375
Stopp@info:whatsthis	Stop	stop	0.3194444444444444	0.442138671875
Wiedergabe oder Aufnahme stoppen@action:inmenu	Stop playback or recording	& Stop/ Delete	0.09515430634484208	0.238525390625
Datei-Informationen ...@action playlist repeat	File info...	Settings Repeat Playlist	0.08388553843099304	0.06781005859375
Wiederholen@action playlist shuffle	Repeat	Settings Repeat Playlist	0.642280001547736	0.264404296875
Beliebige Reihenfolge@action player auto-start	Shuffle	Auto-start.	0.02252252252252261	0.05712890625
Automatisch starten@action	Auto-Start	Start automatically	0.3685000288641745	0.7431640625
Automatisch zur Wiedergabeliste hinzufügen@action	Auto-Add to Playlist	Automatically return on activity	0.16218149553870223	0.413818359375
Wiedergabeliste laden ...@action	Load Playlist...	Loading Kontact...	0.25789911289492035	0.492431640625
Wiedergabeliste speichern ...@action	Save Playlist...	Save List...	0.39783846255233674	0.66796875
Wiedergabeliste bearbeiten ...@action Pianola	Edit Playlist...	void enableRepeatPlaylist(bool enable)	0.4569225398804573	0.320556640625
Vorspiel-Piano@title:menu	Player Piano	Menu Name - > Menu Item	0.042735042735042826	0.152099609375
Das Fenster mit dem Vorspiel-Piano ein-/ausblenden@action	Show or hide the player piano window	Pino Toscano toscano. pino@tiscali. it	0.10529866752730255	0.1383056640625
Kanäle@info:whatsthis	Channels	whatsthis	0.08520257346548432	0.0205841064453125
Das Fenster mit den Kanälen ein-/ausblenden@action load song settings	Show or hide the channels window	Settings Audio Channels	0.24773119453065653	0.42822265625
Laden@info:whatsthis	Load	whatsthis	0.03703703703703713	0.0235748291015625
Die gespeicherten Einstellungen für das aktuelle Stück laden@action save song settings	Load the stored settings for the current song	Always remember any changes made to the settings selected below in the file properties for the current file	0.5165983397711192	0.451904296875
Speichern@info:whatsthis	Save	whatsthis	0.03703703703703713	0.044464111328125
Die Einstellungen des aktuellen Stückes speichern@action auto load/save song settings	Save the settings of the current song	Automatically load/ save configuration.	0.12838369270711592	0.423828125
Automatisch@info:whatsthis	Automatic	whatsthis	0.09490740740740748	0.006011962890625
Stückeinstellungen automatisch laden und speichern@title:window	Automatically load and save song settings	Automatically load/ save configuration.	0.5209450010861302	0.78125
MIDI-/Karaoke-Dateien öffnen@info:status player playing	Open MIDI/ Karaoke files	MIDI/ Karaoke file player	0.7392582937431529	0.59912109375
abspielend@info:status player paused	playing	Paused:: %1	0.022831050228310595	-0.005481719970703125
angehalten@info:status player stopped	paused	Player Stop	0.0781250000000001	0.078857421875
gestoppt@info:status player loading	stopped	Loading Your Game	0.0641025641025642	0.040130615234375
